Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,65.68,66.44,65.19,65.92,834000,65.92
2013-12-31,65.69,65.87,65.04,65.76,645700,65.76
2013-12-30,66.00,66.00,65.21,65.68,565000,65.68
2013-12-27,65.43,66.35,65.13,66.01,710200,66.01
2013-12-26,65.78,65.78,64.95,65.39,805700,65.39
2013-12-24,65.16,65.74,65.10,65.62,253900,65.62
2013-12-23,65.20,65.52,64.84,65.51,874100,65.51
2013-12-20,64.17,65.19,64.05,65.19,1650100,65.19
2013-12-19,63.42,64.14,62.91,63.97,1136200,63.97
2013-12-18,62.75,63.83,62.56,63.75,1051700,63.75
2013-12-17,62.79,63.03,61.76,62.73,1534700,62.73
2013-12-16,61.57,62.88,61.57,62.84,1981800,62.84
2013-12-13,61.70,61.99,60.62,61.44,1750400,61.44
2013-12-12,61.67,62.00,61.36,61.62,1417300,61.62
2013-12-11,62.34,62.47,61.56,61.90,1503700,61.90
2013-12-10,61.81,63.03,61.62,62.53,2254100,62.53
2013-12-09,62.57,64.33,61.91,62.73,5914700,62.73
2013-12-06,65.35,66.51,65.22,66.29,863800,66.29
2013-12-05,64.86,65.49,64.61,65.21,618400,65.21
2013-12-04,65.09,65.19,64.52,64.87,836000,64.87
