Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,77.61,77.86,77.25,77.34,826100,77.34
2013-12-31,77.48,78.67,77.48,77.69,624100,77.69
2013-12-30,77.12,77.60,76.92,77.43,562800,77.43
2013-12-27,76.75,77.05,76.67,76.91,417300,76.91
2013-12-26,76.96,76.96,76.23,76.73,319100,76.73
2013-12-24,76.39,76.82,76.26,76.73,340600,76.73
2013-12-23,76.47,76.47,75.86,76.31,734700,76.31
2013-12-20,77.19,77.27,75.87,76.07,1255400,76.07
2013-12-19,78.26,78.26,76.42,76.77,529800,76.77
2013-12-18,76.44,78.03,76.09,78.02,542200,78.02
2013-12-17,76.78,76.97,75.54,76.25,732600,76.25
2013-12-16,76.85,77.03,76.39,76.82,345700,76.82
2013-12-13,75.91,76.81,75.54,76.46,523900,76.46
2013-12-12,76.97,76.98,75.65,75.89,829300,75.89
2013-12-11,78.75,78.85,76.93,77.01,499200,77.01
2013-12-10,79.06,79.35,78.45,78.76,503900,78.76
2013-12-09,79.30,79.52,78.98,79.25,535300,79.25
2013-12-06,79.86,80.10,79.02,79.32,523400,79.32
2013-12-05,79.71,80.32,78.72,78.85,1177900,78.85
2013-12-04,78.79,80.40,78.68,79.84,2187800,79.84
