Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,36.10,36.13,35.38,35.40,3545600,35.40
2013-12-31,36.35,36.61,36.05,36.23,3090000,36.23
2013-12-30,36.36,36.38,36.12,36.25,2689200,36.25
2013-12-27,36.68,36.70,36.25,36.33,2021600,36.33
2013-12-26,36.72,36.74,36.46,36.57,2085900,36.57
2013-12-24,36.61,36.72,36.36,36.62,923800,36.62
2013-12-23,36.28,36.76,36.17,36.61,3895300,36.61
2013-12-20,35.67,36.30,35.52,36.07,6910000,36.07
2013-12-19,35.47,35.79,35.35,35.52,3696900,35.52
2013-12-18,35.08,35.57,34.40,35.53,5879400,35.53
2013-12-17,35.32,35.37,34.73,35.00,5166800,35.00
2013-12-16,35.16,35.44,35.02,35.06,3370600,35.06
2013-12-13,35.27,35.36,34.98,35.02,4054100,35.02
2013-12-12,35.20,35.46,35.01,35.10,3401000,35.10
2013-12-11,36.01,36.12,35.21,35.27,3197200,35.27
2013-12-10,36.01,36.32,35.81,36.07,3947400,36.07
2013-12-09,35.94,36.49,35.90,36.15,4703500,36.15
2013-12-06,35.86,36.02,35.55,35.94,3141900,35.94
2013-12-05,35.42,35.66,35.24,35.38,2925400,35.38
2013-12-04,35.41,35.78,35.05,35.59,3487000,35.59
