Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,79.46,79.58,78.63,79.00,869700,79.00
2013-12-31,79.47,79.77,79.20,79.45,786800,79.45
2013-12-30,78.72,79.36,78.72,79.19,911000,79.19
2013-12-27,79.67,79.69,78.95,79.03,665000,79.03
2013-12-26,79.29,79.66,79.13,79.31,544900,79.31
2013-12-24,78.83,79.46,78.72,79.16,515000,79.16
2013-12-23,79.13,79.37,78.62,78.70,1230000,78.70
2013-12-20,78.13,79.24,78.13,78.90,2277700,78.90
2013-12-19,77.69,78.47,77.42,77.76,1940400,77.76
2013-12-18,76.03,78.21,75.62,78.11,3398800,78.11
2013-12-17,75.78,76.24,75.11,75.77,1757100,75.77
2013-12-16,76.05,76.47,75.52,75.91,2482600,75.91
2013-12-13,73.61,74.81,73.56,74.20,2630000,74.20
2013-12-12,73.32,74.00,72.76,73.26,3035100,73.26
2013-12-11,72.45,73.35,72.08,72.22,1846400,72.22
2013-12-10,74.26,74.44,73.35,73.90,1339600,72.55
2013-12-09,74.01,74.61,73.85,74.31,1021700,72.95
2013-12-06,73.82,74.13,73.43,73.98,892700,72.63
2013-12-05,73.23,73.68,72.77,72.87,1067600,71.54
2013-12-04,73.56,73.76,71.97,73.37,1803800,72.03
