Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,51.94,52.21,50.86,51.25,1964500,51.25
2013-12-31,51.77,52.26,51.56,52.21,1154600,52.21
2013-12-30,52.16,52.34,51.24,51.54,1330200,51.54
2013-12-27,52.36,52.42,51.85,51.90,1470300,51.90
2013-12-26,52.96,52.96,52.00,52.27,982800,52.27
2013-12-24,51.80,52.38,51.65,52.21,577600,52.21
2013-12-23,52.67,52.69,51.60,51.64,1128500,51.64
2013-12-20,52.19,52.61,51.94,52.30,2185600,52.30
2013-12-19,52.67,52.71,51.30,51.92,2252400,51.92
2013-12-18,53.11,53.11,51.69,52.76,2688500,52.76
2013-12-17,53.02,53.48,52.76,53.16,2220900,53.16
2013-12-16,52.33,53.30,52.22,53.10,3096000,53.10
2013-12-13,50.96,51.60,50.88,51.56,2486400,51.56
2013-12-12,50.46,51.41,50.34,51.01,2049000,51.01
2013-12-11,50.11,50.94,50.02,50.56,2675100,50.56
2013-12-10,50.95,51.31,50.13,50.15,1939300,50.15
2013-12-09,50.61,51.30,50.43,50.98,2444500,50.98
2013-12-06,50.87,51.12,50.38,50.72,1997400,50.72
2013-12-05,49.92,50.50,49.81,50.21,2275300,50.21
2013-12-04,48.28,49.41,48.16,49.29,1985300,49.29
