Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,78.18,78.18,77.08,77.43,385500,77.43
2013-12-31,78.26,78.38,77.81,78.15,330200,78.15
2013-12-30,78.24,78.30,77.94,78.28,234300,78.11
2013-12-27,78.62,79.42,77.96,78.24,196900,78.07
2013-12-26,78.38,78.72,78.04,78.53,233900,78.36
2013-12-24,78.01,78.47,77.70,78.27,113700,78.10
2013-12-23,78.06,78.34,77.58,78.05,522800,77.88
2013-12-20,77.15,78.01,76.57,77.85,835200,77.68
2013-12-19,76.80,77.12,76.26,77.00,463800,76.83
2013-12-18,76.36,76.92,74.88,76.88,747300,76.71
2013-12-17,76.25,76.34,75.55,76.08,421900,75.91
2013-12-16,76.09,76.65,75.85,76.14,543400,75.97
2013-12-13,76.25,76.37,75.66,75.84,351200,75.68
2013-12-12,75.94,76.36,75.70,76.11,317500,75.94
2013-12-11,76.48,76.61,75.92,76.16,551400,75.99
2013-12-10,76.63,76.95,76.32,76.53,367300,76.36
2013-12-09,77.15,77.15,76.71,76.94,392100,76.77
2013-12-06,76.28,76.79,75.90,76.78,402700,76.61
2013-12-05,75.74,75.92,75.26,75.56,395400,75.40
2013-12-04,75.01,75.94,74.61,75.77,705000,75.61
