Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,56.76,57.53,56.74,56.99,3130000,56.99
2013-12-31,56.45,56.89,56.24,56.75,1482500,56.75
2013-12-30,55.82,56.55,55.82,56.44,1196000,56.44
2013-12-27,55.86,56.08,55.65,55.94,1178800,55.94
2013-12-26,56.12,56.19,55.65,55.69,1048200,55.69
2013-12-24,55.50,56.13,55.50,55.82,900500,55.82
2013-12-23,54.37,55.85,54.37,55.55,1731800,55.55
2013-12-20,54.71,55.37,54.64,54.95,3049300,54.95
2013-12-19,54.76,54.90,54.26,54.62,1549500,54.62
2013-12-18,54.51,55.18,54.18,54.76,2460700,54.76
2013-12-17,54.24,54.99,54.00,54.60,2265600,54.60
2013-12-16,54.26,54.44,53.99,54.34,2651400,54.34
2013-12-13,54.97,55.19,54.00,54.08,2166600,54.08
2013-12-12,55.40,55.45,54.94,54.97,1650200,54.97
2013-12-11,55.00,55.75,54.79,55.40,2684800,55.40
2013-12-10,54.80,55.09,54.26,54.97,2136500,54.97
2013-12-09,54.28,55.09,54.04,54.99,2163200,54.99
2013-12-06,55.16,55.69,54.53,54.70,2879000,54.35
2013-12-05,55.42,55.80,54.72,55.04,4491600,54.69
2013-12-04,55.18,55.24,53.62,54.38,4225300,54.03
